model,source_feature,target_feature,source_name,target_name,source_modality,target_modality,prior,gradient,occlusion,permutation
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000029257,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Atp11b,metabolomics,proteomics,0.0,0.012037154647415326,0.012220028593565371,0.012426120474513927
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000029367,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Bche,metabolomics,proteomics,0.0,0.0015777982016190325,0.001600488435163827,0.0016312593259757001
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000029574,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Vcam1,metabolomics,proteomics,0.0,0.0012907683226684482,0.0013075493581895762,0.0013251422188481753
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000029771,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F3,metabolomics,proteomics,0.0,0.006565311888757655,0.006688114379258211,0.006749160708013143
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000030041,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ambp,metabolomics,proteomics,0.0,0.00035267494914546484,0.0003620392556836246,0.00036822749880595183
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000030044,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Orm1,metabolomics,proteomics,0.0,0.0018374586273468335,0.001855006241389984,0.0018863830612881798
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000030985,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Hgfac,metabolomics,proteomics,0.0,0.003871420695955943,0.0038997740968545655,0.003956669438068547
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031314,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Alb,metabolomics,proteomics,0.0,0.0025940699909798234,0.0026428740315909177,0.0026692795568369564
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031319,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ppbp,metabolomics,proteomics,0.0,0.004301942667693339,0.004377469425839928,0.004447553068944283
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031320,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pf4,metabolomics,proteomics,0.0,0.007708966014331111,0.007839264307658128,0.007901575952593902
