source_node,target_node,relationship,database,evidence,confidence,reference,via
A0A0A6YWI9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-11,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YWS9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV6-5,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YXA5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-15,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YXD7,immunoglobulin,protein_to_pathway,name_rules,gene IGHD,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YXN4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-18,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YXQ0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV8-8,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YY53;F6TQW2,immunoglobulin,protein_to_pathway,name_rules,gene IGHG2C,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YYE7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-57,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1H6,immunoglobulin,protein_to_pathway,name_rules,gene IGKV2-137,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1H7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV1-135,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I1,immunoglobulin,protein_to_pathway,name_rules,gene IGKV16-104,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-74,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-72,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I5,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-70,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-68,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1I9,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-55,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-50,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV5-43,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV9-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV9-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV10-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1J7;A0A0G2JEU7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-82,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1K5,immunoglobulin,protein_to_pathway,name_rules,gene IGLV3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1M0;A0A0G2JGS9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-77,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0B4J1N0;A0A0G2JFE9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-76,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0G2JDE1,immunoglobulin,protein_to_pathway,name_rules,gene IGHV8-12,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0G2JE99,immunoglobulin,protein_to_pathway,name_rules,gene IGLC1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0R4J038;D3YTY9,coagulation,protein_to_pathway,name_rules,gene KNG1,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
